Abstrakta och konkreta medlemmar	Abstract and concrete members
en case-klass som modellerar en vektor i två dimensioner med dx och dy och ett härlett attribut som ger längden med `math.hypot`	a case class that models a vector in two dimensions with dx and dy and a derived attribute that gives the length with `math.hypot`
en case-klass som modellerar ett bankkonto med ägare och saldo, samt en metod som returnerar en ny kopia med ett insatt belopp adderat till saldot	a case class that models a bank account with owner and balance, as well as a method that returns a new copy with a deposited amount added to the balance
en case-klass som modellerar ett datum med år, månad och dag och en metod som returnerar en ny kopia med dagen ökad med ett	a case class that models a date with year, month and day and a method that returns a new copy with the day increased by one
en case-klass som modellerar ett rektangulärt rum med bredd och höjd och ett härlett attribut som ger arean	a case class that models a rectangular room with width and height and a derived attribute that gives the area
en definition av en oäkta funktion som returnerar slumpmässiga jämna heltal mellan n och m	a definition of an impure function that returns random even integers between n and m
en enumeration `Trafikljus` och en funktion som med ett match-uttryck returnerar nästa ljus i ordningen	an enumeration `TrafficLight` and a function that with a match expression returns the next light in order
en extensionsmetod på `String` som ger strängen baklänges och med versaler,\noch anropa den både med punktnotation och som en vanlig funktion	an extension method on `String` that gives the string reversed and in uppercase,\nand call it both with dot notation and as an ordinary function
en extensionsmetod som heter `kvadrat` på typen `Int` och som ger talet multiplicerat med sig självt	an extension method called `square` on the type `Int` that gives the number multiplied by itself
en extensionsmetod som lägger till metoderna inc och dec på heltal så att talet ökas respektive minskas med ett	an extension method that adds the methods inc and dec on integers so that the number is increased respectively decreased by one
en funktion `areaRektangel` som tar bredd och höjd och ger rektangelns area	a function `rectangleArea` that takes width and height and gives the rectangle's area
en funktion `celsiusTillFahrenheit` som omvandlar grader Celsius till Fahrenheit (Fahrenheit = Celsius · 9/5 + 32)	a function `celsiusToFahrenheit` that converts degrees Celsius to Fahrenheit (Fahrenheit = Celsius · 9/5 + 32)
en funktion `copy` som kopierar en `Array` med heltal\nelement för element till en ny `Array`\nsom använder en while-sats i implementationen	a function `copy` that copies an `Array` of integers\nelement by element to a new `Array`\nthat uses a while statement in the implementation
en funktion `dubblera` som tar ett heltal och ger tillbaka talet multiplicerat med två	a function `double` that takes an integer and returns the number multiplied by two
en funktion `insert` som givet en `Array` med heltal\nstoppar in ett element på en viss plats\nsom använder en while-sats i implementationen	a function `insert` that given an `Array` of integers\ninserts an element at a certain position\nthat uses a while statement in the implementation
en funktion `isAdult` som tar en ålder av typen `Int` och ger `true` om åldern är minst 18, annars `false`	a function `isAdult` that takes an age of type `Int` and returns `true` if the age is at least 18, otherwise `false`
en funktion `isEven(n: Int)` som är sann om n är ett jämt tal	a function `isEven(n: Int)` that is true if n is an even number
en funktion `isFreezing` som tar en temperatur och ger `true` om den är under noll	a function `isFreezing` that takes a temperature and returns `true` if it is below zero
en funktion `kvadrat` som tar ett heltal n och ger n upphöjt till två	a function `square` that takes an integer n and returns n to the power of two
en funktion `medelvärde` som tar två decimaltal och ger deras genomsnitt	a function `average` that takes two decimal numbers and gives their mean
en funktion `omkrets` som tar en radie av typen `Double` och ger cirkelns omkrets (cirkelns omkrets är 2·π·r)	a function `circumference` that takes a radius of type `Double` and gives the circle's circumference (the circumference of a circle is 2·π·r)
en funktion `readPersonMap` som läser in rader med kommaseparerade efternamn och förnamn och personnummer från en textfil\noch skapar en nyckel-värde-tabell med personnummer av typen `Long` som nyckel och instanser av case-klassen `Person` som värde	a function `readPersonMap` that reads in lines with comma-separated last names and first names and personal identity numbers from a text file\nand creates a key-value table with the personal identity number of type `Long` as key and instances of the case class `Person` as value
en funktion `readPersonSet` som läser in rader med kommaseparerade efternamn och förnamn från en textfil\noch skapar en mängd av instanser av case-klassen `Person` och kastar ett undantag om det finns dubbletter	a function `readPersonSet` that reads in lines with comma-separated last names and first names from a text file\nand creates a set of instances of the case class `Person` and throws an exception if there are duplicates
en funktion `roll` som ger ett slumpmässigt heltal mellan 1 och 6	a function `roll` that gives a random integer between 1 and 6
en funktion med repeterade parametrar av typen `Double` som ger medelvärdet av argumenten	a function with repeated parameters of type `Double` that gives the average of the arguments
en funktion med repeterade parametrar av typen `Int` som ger antalet argument som är större än noll	a function with repeated parameters of type `Int` that gives the number of arguments that are greater than zero
en funktion med två parameterlistor som adderar två heltal och anropar den med båda argumenten	a function with two parameter lists that adds two integers and calls it with both arguments
en funktion som avgör om två strängar är lika\nsom använder en while-sats i implementationen	a function that determines whether two strings are equal\nthat uses a while statement in the implementation
en funktion som beräknar arean av en rektangel utifrån bredd och höjd och returnerar en `Double`	a function that computes the area of a rectangle from width and height and returns a `Double`
en funktion som ger minsta heltalet i en heltalssekvens,\nutan att använda inbyggda min	a function that gives the smallest integer in an integer sequence,\nwithout using the built-in min
en funktion som ger största heltalet i en heltalssekvens,\nutan att använda inbyggda max	a function that gives the largest integer in an integer sequence,\nwithout using the built-in max
en funktion som grupperar en sekvens av ord i en nyckel-värde-tabell\nefter ordlängd med hjälp av `groupBy`	a function that groups a sequence of words into a key-value table\nby word length using `groupBy`
en funktion som heter `delaUpp` och tar en heltalssekvens och returnerar en 2-tupel med de jämna talen i första elementet och de udda i andra	a function called `splitEvenOdd` that takes an integer sequence and returns a 2-tuple with the even numbers in the first element and the odd ones in the second
en funktion som heter `längd` och tar en 2-tupel (`Double`, `Double`) som parameter och ger avståndet till origo med `math.hypot`	a function called `length` that takes a 2-tuple (`Double`, `Double`) as parameter and gives the distance to the origin with `math.hypot`
en funktion som heter `mittpunkt` och tar två 2-tupler (`Double`, `Double`) och returnerar en 2-tupel med medelvärdet av x-koordinaterna och medelvärdet av y-koordinaterna	a function called `midpoint` that takes two 2-tuples (`Double`, `Double`) and returns a 2-tuple with the average of the x-coordinates and the average of the y-coordinates
en funktion som heter `polär` och tar en 2-tupel (`Double`, `Double`) och returnerar en 2-tupel med längd och vinkel beräknade med `math.hypot` och `math.atan2`	a function called `polar` that takes a 2-tuple (`Double`, `Double`) and returns a 2-tuple with length and angle computed with `math.hypot` and `math.atan2`
en funktion som hälsar på en person genom att returnera strängen "Hej " följt av ett namn, med defaultargument "världen"	a function that greets a person by returning the string "Hello " followed by a name, with default argument "world"
en funktion som linjärsöker efter en instans av klassen `Person`\nmed ett visst efternamn i en osorterad sekvens av personer\nmed hjälp av en `while` (och inte `find`/`indexOf`).\n Funktionens returtyp ska vara `Option`	a function that linearly searches for an instance of the class `Person`\nwith a certain last name in an unsorted sequence of persons\nusing a `while` (and not `find`/`indexOf`).\n The function's return type should be `Option`
en funktion som med `getOrElse` returnerar värdet i en `Option` om det finns, annars strängen "saknas"	a function that with `getOrElse` returns the value in an `Option` if it exists, otherwise the string "missing"
en funktion som med `map` fördubblar värdet i en `Option` om det finns, annars ger `None`	a function that with `map` doubles the value in an `Option` if it exists, otherwise gives `None`
en funktion som med `require` kräver att argumentet inte är negativt innan den returnerar kvadratroten	a function that with `require` requires that the argument is not negative before it returns the square root
en funktion som med `sliding` beräknar medelvärdet av varje par\nav intilliggande tal i en talsekvens	a function that with `sliding` computes the average of each pair\nof adjacent numbers in a number sequence
en funktion som med `throw` kastar ett undantag om ett uttag är större än saldot, annars returnerar nytt saldo	a function that with `throw` throws an exception if a withdrawal is larger than the balance, otherwise returns the new balance
en funktion som med en for-do-sats och en var-variabel räknar hur många gånger talet noll förekommer i en `Vector[Int]`	a function that with a for-do statement and a var variable counts how many times the number zero occurs in a `Vector[Int]`
en funktion som med en while-loop returnerar medelvärdet av talen i en `Array[Int]` eller noll om arrayen är tom	a function that with a while loop returns the average of the numbers in an `Array[Int]` or zero if the array is empty
en funktion som med en while-loop returnerar produkten av alla heltal i en `Array[Int]`	a function that with a while loop returns the product of all integers in an `Array[Int]`
en funktion som med en while-loop räknar antalet element i en `Array[Int]` som är jämnt delbara med 3	a function that with a while loop counts the number of elements in an `Array[Int]` that are evenly divisible by 3
en funktion som med en while-sats ger summan av alla heltal i en `Array[Int]`	a function that with a while statement gives the sum of all integers in an `Array[Int]`
en funktion som med en while-sats räknar och returnerar antalet negativa heltal i en `Vector[Int]`	a function that with a while statement counts and returns the number of negative integers in a `Vector[Int]`
en funktion som med ett for-uttryck och en gard ger en ny vektor med bara de heltal i en `Vector[Int]` som är delbara med tre	a function that with a for expression and a guard gives a new vector with only the integers in a `Vector[Int]` that are divisible by three
en funktion som med ett for-yield-uttryck returnerar kvadraten av varje tal i en `Vector[Int]`	a function that with a for-yield expression returns the square of each number in a `Vector[Int]`
en funktion som med ett match-uttryck och garder returnerar negativt om n är mindre än noll, noll om n är noll och positivt annars	a function that with a match expression and guards returns negative if n is less than zero, zero if n is zero and positive otherwise
en funktion som med ett match-uttryck på `Some` och `None` beskriver om ett Option-värde finns eller saknas	a function that with a match expression on `Some` and `None` describes whether an Option value exists or is missing
en funktion som med ett match-uttryck på `Success` och `Failure` beskriver resultatet av ett `Try`	a function that with a match expression on `Success` and `Failure` describes the result of a `Try`
en funktion som med ett match-uttryck tar en `Vector` av strängar och returnerar tom om den är tom, det enda elementet baklänges om den har ett element, annars första och sista elementet sammanfogade	a function that with a match expression takes a `Vector` of strings and returns empty if it is empty, the single element reversed if it has one element, otherwise the first and last element joined together
en funktion som med ett match-uttryck tar en tupel av två heltal och returnerar lika om talen är lika, växer om det första är mindre än det andra, annars minskar	a function that with a match expression takes a tuple of two integers and returns equal if the numbers are equal, increasing if the first is less than the second, otherwise decreasing
en funktion som med ett try-catch-uttryck slår upp ett element på ett index och fångar ett IndexOutOfBoundsException genom att returnera noll	a function that with a try-catch expression looks up an element at an index and catches an IndexOutOfBoundsException by returning zero
en funktion som med for-yield returnerar en ny `Vector[String]` där varje sträng i en `Vector` har fått ett utropstecken tillagt på slutet	a function that with for-yield returns a new `Vector[String]` where each string in a `Vector` has had an exclamation mark added at the end
en funktion som med hjälp av `Vector.fill` bygger en kvadratisk matris av storlek n gånger n där alla element är noll	a function that with the help of `Vector.fill` builds a square matrix of size n times n where all elements are zero
en funktion som med hjälp av `Vector.tabulate` bygger en matris med m rader och n kolumner där elementet på plats i,j har värdet i gånger n plus j	a function that with the help of `Vector.tabulate` builds a matrix with m rows and n columns where the element at position i,j has the value i times n plus j
en funktion som med hjälp av nästlade for-uttryck summerar alla heltal i en matris av typen `Vector[Vector[Int]]`	a function that with the help of nested for expressions sums all integers in a matrix of type `Vector[Vector[Int]]`
en funktion som med indexering och en while-loop returnerar indexet för det första negativa talet i en `Array[Int]` eller minus ett om inget finns	a function that with indexing and a while loop returns the index of the first negative number in an `Array[Int]` or minus one if none exists
en funktion som med metoden `count` räknar antalet jämna heltal i en `Vector[Int]`	a function that with the method `count` counts the number of even integers in a `Vector[Int]`
en funktion som med metoden `filter` ger en ny vektor med bara de positiva heltalen ur en `Vector[Int]`	a function that with the method `filter` gives a new vector with only the positive integers from a `Vector[Int]`
en funktion som med metoden `filter` ger en ny vektor med bara de strängar som är längre än tre tecken ur en `Vector[String]`	a function that with the method `filter` gives a new vector with only the strings that are longer than three characters from a `Vector[String]`
en funktion som med metoden `find` ger det första elementet i en `Vector[String]` som börjar med bokstaven a	a function that with the method `find` gives the first element in a `Vector[String]` that begins with the letter a
en funktion som med metoden `map` ger en ny vektor där varje heltal i en `Vector[Int]` har dubblerats	a function that with the method `map` gives a new vector where each integer in a `Vector[Int]` has been doubled
en funktion som med metoden `map` ger en ny vektor med längden av varje sträng i en `Vector[String]`	a function that with the method `map` gives a new vector with the length of each string in a `Vector[String]`
en funktion som med metoden `sortBy` ger en ny vektor med strängarna i en `Vector[String]` sorterade efter sin längd	a function that with the method `sortBy` gives a new vector with the strings in a `Vector[String]` sorted by their length
en funktion som med metoden `sortWith` ger en ny vektor med heltalen i en `Vector[Int]` sorterade från störst till minst	a function that with the method `sortWith` gives a new vector with the integers in a `Vector[Int]` sorted from largest to smallest
en funktion som med typade mönster tar ett värde av typen `Any` och returnerar olika strängar beroende på om värdet är en `Int`, en `String` eller något annat	a function that with typed patterns takes a value of type `Any` and returns different strings depending on whether the value is an `Int`, a `String` or something else
en funktion som returnerar det största heltalet i en matris av typen `Vector[Vector[Int]]`	a function that returns the largest integer in a matrix of type `Vector[Vector[Int]]`
en funktion som returnerar en av flera subtyper till en gemensam bastyp och på så vis visar subtypspolymorfism	a function that returns one of several subtypes to a common base type and thereby demonstrates subtype polymorphism
en funktion som returnerar en formaterad adress utifrån parametrarna gata, nummer och postort och anropar den med namngivna argument i valfri ordning	a function that returns a formatted address from the parameters street, number and city and calls it with named arguments in any order
en funktion som returnerar produkten av två heltal	a function that returns the product of two integers
en funktion som räknar antalet element i en matris av typen `Vector[Vector[Int]]` som är jämna	a function that counts the number of elements in a matrix of type `Vector[Vector[Int]]` that are even
en funktion som skriver ut en strängmatris rad för rad	a function that prints a string matrix row by row
en funktion som slår upp ett värde i en nyckel-värde-tabell och ger ett\nstandardvärde om nyckeln saknas, och en variant som mönstermatchar på `Some` och `None`	a function that looks up a value in a key-value table and gives a\ndefault value if the key is missing, and a variant that pattern matches on `Some` and `None`
en funktion som summerar alla heltal i en sekvens,\nutan att använda inbyggda sum	a function that sums all integers in a sequence,\nwithout using the built-in sum
en funktion som tar en matris av typen `Vector[Vector[Int]]` och ett kolumnindex och returnerar kolonnen på det indexet som en `Vector`	a function that takes a matrix of type `Vector[Vector[Int]]` and a column index and returns the column at that index as a `Vector`
en funktion som tar en punkt som en 2-tupel (`Double`, `Double`)\noch returnerar en ny 2-tupel förändrad på valfritt vis, och visa hur man kommer åt delarna med punktnotation	a function that takes a point as a 2-tuple (`Double`, `Double`)\nand returns a new 2-tuple changed in any way, and show how to access the parts with dot notation
en funktion som tar en sekvens av djurnamn och returnerar en tabell som mappar varje namn till dess längd i antal tecken	a function that takes a sequence of animal names and returns a table that maps each name to its length in number of characters
en funktion som tar en sekvens av heltal och returnerar antalet tal som förekommer mer än en gång	a function that takes a sequence of integers and returns the number of numbers that occur more than once
en funktion som tar en sekvens av strängar och returnerar mängden av de strängar som är längre än tre tecken	a function that takes a sequence of strings and returns the set of the strings that are longer than three characters
en funktion som tar en sträng med ord separerade av blanksteg och returnerar antalet unika ord med hjälp av `split` och `toSet`	a function that takes a string with words separated by spaces and returns the number of unique words using `split` and `toSet`
en funktion som tar en tabell med heltalsvärden och returnerar en ny tabell där alla värden har dubblerats	a function that takes a table with integer values and returns a new table where all values have been doubled
en funktion som tar en tabell och en nyckel och returnerar värdet, eller noll om nyckeln saknas, med hjälp av `getOrElse`	a function that takes a table and a key and returns the value, or zero if the key is missing, using `getOrElse`
en funktion som tar en tabell och returnerar en sträng där paren är serialiserade med `mkString`	a function that takes a table and returns a string where the pairs are serialized with `mkString`
en funktion som tar två heltalsmängder och returnerar deras snitt	a function that takes two integer sets and returns their intersection
en funktion som tar två strängmängder och returnerar deras union	a function that takes two string sets and returns their union
en funktion som tolkar en sträng till ett heltal och fångar eventuellt fel\nmed `Try`, och en variant som använder try-catch	a function that parses a string to an integer and catches any error\nwith `Try`, and a variant that uses try-catch
en funktion som upphöjer ett heltal till en exponent med defaultargument 2	a function that raises an integer to an exponent with default argument 2
en förseglad (`sealed`) typhierarki av grönsaker och en funktion som med\nmönstermatchning och en gard klassificerar en grönsak (uttömmande matchning)	a sealed (`sealed`) type hierarchy of vegetables and a function that with\npattern matching and a guard classifies a vegetable (exhaustive matching)
en förseglad bastyp `Väderstreck` med fyra case-objekt och en funktion som med ett match-uttryck returnerar det motsatta väderstrecket	a sealed base type `CompassDirection` with four case objects and a function that with a match expression returns the opposite compass direction
